"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"BTL"," 300","NAA","A","30","28","A4513","10:45:00","12:30:00","N","Y","N","N","N","Burton,Ronald Eden","H","NH"
"BTL"," 300","NBB","A","30","30","A3518","11:40:00","13:25:00","Y","N","N","N","N","Burton,Ronald Eden","H","NH"
"BTL"," 300","NBB","A","30","30","ONLINE","11:40:00","13:25:00","N","N","N","N","Y","Burton,Ronald Eden","H","NH"
"DPS"," 970","NSA","A","30","30","ONLINE","13:30:00","15:15:00","N","N","N","N","Y","Burton,Ronald Eden","H","NH"
"DPS"," 970","NSAL","A","30","30","A4085","08:00:00","09:45:00","N","Y","N","N","N","Burton,Ronald Eden","H","NH"
"OPS"," 300","NAA","A","36","20","K1263","09:50:00","11:35:00","N","N","N","Y","N","Callaghan,Peter","P","NH"
"OPS"," 300","NAA","A","36","20","K1003","13:30:00","15:15:00","N","Y","N","N","N","Callaghan,Peter","P","NH"
"OPS"," 300","NBB","A","36","30","K1272","09:50:00","11:35:00","N","Y","N","N","N","Callaghan,Peter","P","NH"
"OPS"," 300","NBB","A","36","30","K1003","11:40:00","13:25:00","N","N","N","Y","N","Callaghan,Peter","P","NH"
"RHT"," 634","NAA","A","36","11","C2036","13:30:00","15:15:00","N","N","N","Y","N","Callaghan,Peter","H","NH"
"RHT"," 634","NAA","A","36","11","ONLINE","10:45:00","12:30:00","N","N","N","N","Y","Callaghan,Peter","H","NH"
"OSL"," 645","NAA","A","36","4","A4526","11:40:00","13:25:00","N","Y","N","N","N","Carman,Jason","P","NH"
"OSL"," 645","NAA","A","36","4","A3512","14:25:00","16:10:00","N","N","N","N","Y","Carman,Jason","P","NH"
"OSL"," 745","NAA","A","36","9","C2030","13:30:00","15:15:00","N","Y","N","N","N","Carman,Jason","H","NH"
"OSL"," 745","NAA","A","36","9","ONLINE","17:10:00","18:55:00","Y","N","N","N","N","Carman,Jason","H","NH"
"MEC"," 355","NAAL","A","24","9","K2200","12:35:00","14:20:00","N","N","N","N","Y","Chan,Ho Yin","P","NH"
